"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Trend Plaza_North Wing_L2_20241029 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F7cd934a264a8be98a5a127a931ec419cd2b745d9.svg",Conversion to SVG,0.519,7896 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Trend Plaza_South Wing_L2_20241029 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F0c53d822ac5869b39a7169b211fbcb5642d17fc8.svg",Conversion to SVG,1.435,9368 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fde6630d264ca6645a4b4adb65f41d01334247314.svg",Conversion to SVG,0.531,5532 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fa56467b3f3037f1a7bd4d65878e1c782e1afefb9.svg",Conversion to SVG,0.356,5252 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Ffa97122da548230375107a875819bbe32efd053f.svg",Conversion to SVG,0.521,5240 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F1843ae038f85abe6b6ab5f415813f4dd7ddb4270.svg",Conversion to SVG,0.091,5300 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-45\20250205\4118-LP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F1f073f2a0cdf9a64fb301e3db51d70ea27a02f72.svg",Conversion to SVG,10.844,39116 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-45\20250205\4118-LP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F346c1ede96a8ef4b9573ea2db93f0244c5769566.svg",Conversion to SVG,19.264,32120 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-83\2027-SP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F67748da63df1063e39c6203d9aee3c86159b00b8.svg",Conversion to SVG,6.438,38072 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-84\350-4S.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F81bae6f943be32af2c357f837d2cc9db5525405b.svg",Conversion to SVG,16.298,52908 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-85\4144-LP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F682218d85e4d002cf4856a598f094fefe3ded217.svg",Conversion to SVG,1.882,23124 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\CAD-88\3208-LP0.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F54d5dc84610efd5a429db417c47b70413e6a584e.svg",Conversion to SVG,2.133,25144 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Mostown - PHASE 4 - L2 - 20240920 EDITED.DWG","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fc8a215cfc7607354e29401f1cb85bf9acd299410.svg",Conversion to SVG,1.896,13192 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\MOSTown_PHASE 5_L2_20241119 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd4f1e4148557f8f00a91e8768ad30960aa2efda5.svg",Conversion to SVG,0.151,7864 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Mostown - PHASE 4 - L2 - 20240920 EDITED.DWG","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F47978d2b16ce23f055ec70b3a67b0eb92c60e0e2.svg",Conversion to SVG,2.151,15440 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Trend Plaza_North Wing_L2_20241029 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fb3d96631e5c650e179547650c8a299073e4eac0e.svg",Conversion to SVG,0.251,8252 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\drawings\dwg\City_base_map.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F8c58c96934790b685c28f1d5e9b97a81a20fc885.svg",Conversion to SVG,0.268,8284 Kb
